id,name
1821,Martinique-Mobile Orange
1822,Martinique-Mobile Others
1823,Mauritania
1824,Mauritania-Mobile Chinguitel
1825,Mauritania-Mobile Mattel
1826,Mauritania-Mobile Mauritel
1827,Mauritania-Mobile Others
1828,Mauritius Island
1829,Mauritius Island-Mobile Emtel
1830,Mauritius Island-Mobile Mtml
1831,Mauritius Island-Mobile Orange
1832,Mauritius Island-Mobile Others
1833,Mauritius Island-Rodriguez Island
1834,Mayotte
1835,Mayotte-Mobile
1836,Mexico
1837,Mexico-Fixed Cities
1838,Mexico-Fixed Guadalajara
1839,Mexico-Fixed Mexico City
1840,Mexico-Fixed Monterrey
1841,Mexico-Mobile Others
1842,Mexico-Mobile Telcel EA
1843,Mexico-Mobile Telcel Triangle
1844,Micronesia
1845,Moldova
1846,Moldova-Fixed Pridnestrovje
1847,Moldova-Mobile Moldcell
1848,Moldova-Mobile Moldtelecom
1849,Moldova-Mobile Others
1850,Moldova-Mobile Voxtel
2364,Moldova-Special Services
1851,Monaco
1852,Monaco-Fixed OLO
1853,Monaco-Mobile Kosovo
1854,Monaco-Mobile Others
1855,Monaco-Special Services
1856,Mongolia
1857,Mongolia-Mobile
1858,Montenegro
1859,Montenegro-Mobile MTEL
1860,Montenegro-Mobile Others
1861,Montenegro-Mobile Promon
1862,Montenegro-Special Services
1863,Montserrat
1864,Montserrat-Mobile
1865,Morocco
1866,Morocco-Fixed Casablanca
1867,Morocco-Fixed Meditel
1868,Morocco-Fixed Rabat
1869,Morocco-Fixed Wana
1870,Morocco-Fixed Wana Far Zone
1871,Morocco-Mobile Globalstar
1872,Morocco-Mobile IAM
1873,Morocco-Mobile Meditel
2380,Morocco-Mobile Meditel CP
1874,Morocco-Mobile Others
2382,Morocco-Mobile Others CP
1875,Morocco-Mobile Wana
1876,Morocco-Special Services
1877,Mozambique
1878,Mozambique-Mobile Mcel
1879,Mozambique-Mobile Others
1880,Mozambique-Mobile Vodacom
1881,Myanmar
1882,Myanmar-Mobile
1883,Myanmar-Special Services
1884,Namibia
1885,Namibia-Mobile
1886,Nauru
1887,Nepal
1888,Nepal-Fixed Kathmandu
1889,Nepal-Mobile Others
1890,Nepal-Mobile Spice
1891,Netherlands
1892,Netherlands Antilles
1893,Netherlands Antilles-Fixed Curacao
1894,Netherlands Antilles-Mobile
1895,Netherlands-Mobile KPN
1896,Netherlands-Mobile Lyca
1897,Netherlands-Mobile O2
1898,Netherlands-Mobile Others
1899,Netherlands-Mobile T-Mobile
1900,Netherlands-Mobile Tele2
1901,Netherlands-Mobile Vodafone
1902,Netherlands-Special Services
1903,New Caledonia
1904,New Caledonia-Mobile
1905,New Zealand
1906,New Zealand-Fixed Auckland
1907,New Zealand-Mobile Others
1908,New Zealand-Mobile Vodafone
2365,New Zealand-Special Services
1909,Nicaragua
1910,Nicaragua-Mobile Bellsouth
1911,Nicaragua-Mobile Claro
1912,Nicaragua-Mobile Others
1913,Nicaragua-Special Services
1914,Niger
1915,Niger-Mobile Orange
1916,Niger-Mobile Others
1917,Niger-Mobile Telecel
1918,Niger-Mobile Zain
1919,Niger-Special Services
1920,Nigeria
1921,Nigeria-Fixed Envision
1922,Nigeria-Fixed Globacom
1923,Nigeria-Fixed Lagos
1924,Nigeria-Fixed MTN
1925,Nigeria-Fixed Multilinks
1926,Nigeria-Fixed Starcomms
1927,Nigeria-Fixed Visafone
1928,Nigeria-Fixed Zoom
1929,Nigeria-Mobile Etisalat
1930,Nigeria-Mobile Globalcom
1931,Nigeria-Mobile MTN
1932,Nigeria-Mobile Multilinks
1933,Nigeria-Mobile Nitel
1934,Nigeria-Mobile Others
1935,Nigeria-Mobile Reltel
1936,Nigeria-Mobile Starcomms
1937,Nigeria-Mobile Visafone
1938,Nigeria-Mobile Zain
1939,Niue Island
1940,Norfolk Island
1941,North Korea
1942,Norway
1943,Norway-Mobile Netcom
1944,Norway-Mobile Others
1945,Norway-Mobile Tele2
1946,Norway-Mobile Telenor
1947,Norway-Special Services
1948,Oman
1949,Oman-Mobile Nawras
1950,Oman-Mobile Others
1951,Pakistan
1952,Pakistan-Fixed Islamabad
1953,Pakistan-Fixed Karachi
1954,Pakistan-Fixed Kashmir
1955,Pakistan-Fixed Lahore
1956,Pakistan-Mobile Mobilink
1957,Pakistan-Mobile Others
1958,Pakistan-Mobile SCO
1959,Palau
1960,Panama
1961,Panama-Fixed Panama City
1962,Panama-Mobile C&W
1963,Panama-Mobile Digicel
1964,Panama-Mobile Movistar
1965,Panama-Mobile Others
2366,Panama-OLO
2367,Panama-Special Services
1966,Papua New Guinea
1967,Papua New Guinea-Special Services
1968,Paraguay
1969,Paraguay-Fixed Asuncion
1970,Paraguay-Mobile Claro
1971,Paraguay-Mobile Others
1972,Paraguay-Mobile Personal
1973,Paraguay-Mobile Tigo
1974,Paraguay-Mobile Vox
1975,Peru
1976,Peru-Fixed High Cost
1977,Peru-Fixed Lima
1978,Peru-Mobile Claro
1979,Peru-Mobile Others
1980,Peru-Mobile Telefonica
1981,Peru-Rural
1982,Philippines
1983,Philippines-Fixed Manila
1984,Philippines-Mobile Digitel
1985,Philippines-Mobile Globetel
1986,Philippines-Mobile Others
1987,Philippines-Mobile Smart
1988,Poland
1989,Poland-Fixed Katowice
1990,Poland-Fixed Warsaw
1991,Poland-Mobile Era
1992,Poland-Mobile Orange
1993,Poland-Mobile Others
1994,Poland-Mobile P4
1995,Poland-Mobile Plus
1996,Poland-OLO
1997,Poland-Special Services
1998,Portugal
1999,Portugal-Fixed Lisbon
2000,Portugal-Fixed Madeira and Azores
2001,Portugal-Fixed Porto
2002,Portugal-Mobile Optimus
2003,Portugal-Mobile Others
2004,Portugal-Mobile TMN
2005,Portugal-Mobile Vodafone
2006,Portugal-OLO
2007,Portugal-Special Services
2008,Puerto Rico
2009,Qatar
2010,Qatar-Mobile Others
2011,Qatar-Mobile Vodafone
2012,Reunion Island
2013,Reunion Island-Mobile
2014,Romania
2015,Romania-Fixed Bucharest
2016,Romania-Fixed Romtelecom
2017,Romania-Mobile Cosmote
2018,Romania-Mobile Digimobil
2019,Romania-Mobile Orange
2020,Romania-Mobile Others
2021,Romania-Mobile Telemobil
2022,Romania-Mobile Vodafone
2023,Romania-OLO
2024,Romania-Special Services
2025,Russia
2026,Russia-Fixed Abkhazia
2027,Russia-Fixed Moscow
2028,Russia-Fixed St. Petersburg
2029,Russia-Fixed Zone 1
2030,Russia-Fixed Zone 2
2031,Russia-Fixed Zone 4
2032,Russia-Mobile Abkhazia
2033,Russia-Mobile Globalstar
2034,Russia-Mobile Megafon
2035,Russia-Mobile MTS
2036,Russia-Mobile Others
2037,Russia-Mobile Vympelcom
2038,Russia-Rural
2039,Rwanda
2040,Rwanda-Fixed MTN
2041,Rwanda-Fixed Rwandatel
2042,Rwanda-Mobile MTN
2043,Rwanda-Mobile Others
2044,Rwanda-Mobile Tigo
2045,San Marino
2046,San Marino-Mobile
2047,San Marino-Special Services
2048,Sao Tome & Principe
2049,Sao Tome & Principe-Mobile
2050,Sao Tome & Principe-Special Services
2051,Saudi Arabia
2052,Saudi Arabia-Fixed Dhahran
2053,Saudi Arabia-Fixed Jeddah
2054,Saudi Arabia-Fixed Mecca
